origin_id;destination_id;entry_cost;network_cost;exit_cost;total_cost
Bella Vista;Bella Vista;0.0
Bella Vista;San Antonio de Itatí;8490.021171011578;218765.16793614463;17106.78541177973;244361.97451893595
Bella Vista;Corrientes;8490.021171011578;184321.0710254121;3607.488002456337;196418.58019888002
Bella Vista;Concepción;8490.021171011578;151971.49172777656;9553.105401186724;170014.61829997489
Bella Vista;Curuzú Cuatiá;8490.021171011578;246440.8709515821;13134.482134274325;268065.37425686803
Bella Vista;Empedrado;8490.021171011578;150628.5232024599;5189.528064858557;164308.07243833004
Bella Vista;Esquina;8490.021171011578;335204.62325669697;4122.798875876374;347817.4433035849
Bella Vista;Alvear;
Bella Vista;Caá Catí;8490.021171011578;181685.03694231977;6265.176668058465;196440.23478138982
Bella Vista;Goya;8490.021171011578;72099.79509397827;1494.516700775389;82084.33296576525
Bella Vista;Itatí;8490.021171011578;228658.1594741104;4826.395286561572;241974.57593168356
Bella Vista;Ituzaingó;
Bella Vista;Santa Lucía;8490.021171011578;54929.96463856679;8314.297819850535;71734.2836294289
Bella Vista;Mburucuyá;8490.021171011578;107505.85488466576;3276.096308824681;119271.97236450203
Bella Vista;Mercedes;8490.021171011578;203704.73509543398;4359.954415133449;216554.71068157902
Bella Vista;Monte Caseros;8490.021171011578;295627.8426380916;9357.531206813637;313475.3950159168
Bella Vista;Paso de los Libres;
Bella Vista;Saladas;8490.021171011578;67529.59162246973;9751.579073078161;85771.19186655947
Bella Vista;San Cosme;8490.021171011578;198499.69619782816;5927.536422899807;212917.25379173955
Bella Vista;San Luis del Palmar;8490.021171011578;173169.86127868513;10274.939374258307;191934.82182395502
Bella Vista;La Cruz;
Bella Vista;San Miguel;8490.021171011578;194983.13859285714;11536.240553069914;215009.40031693864
Bella Vista;San Roque;8490.021171011578;46105.82327201826;1050.3210137602327;55646.16545679007
Bella Vista;Santo Tomé;
Bella Vista;Sauce;8490.021171011578;241115.04802537872;3541.515672582057;253146.58486897236
San Antonio de Itatí;Bella Vista;17106.78541177973;218765.16793614463;8490.021171011578;244361.97451893595
San Antonio de Itatí;San Antonio de Itatí;0.0
